
 num     #instances         #bytes  class name
----------------------------------------------
   1:         23885        1567568  [C
   2:          4811         914424  [B
   3:         23561         565464  java.lang.String
   4:         11914         381248  java.util.concurrent.ConcurrentHashMap$Node
   5:          2164         247960  java.lang.Class
   6:          2211         221224  [I
   7:          2017         120072  [Ljava.lang.Object;
   8:           237         100032  [Ljava.util.concurrent.ConcurrentHashMap$Node;
   9:           992          89936  [Ljava.util.HashMap$Node;
  10:          2749          87968  java.util.HashMap$Node
  11:           715          85800  java.net.SocksSocketImpl
  12:          5063          81008  java.lang.Object
  13:          2011          80440  java.lang.ref.Finalizer
  14:           715          68640  java.net.DualStackPlainSocketImpl
  15:             4          65728  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
  16:          1190          57120  java.util.HashMap
  17:           713          45632  java.util.concurrent.ConcurrentHashMap
  18:          1132          45280  java.util.TreeMap$Entry
  19:          1323          42336  sun.security.util.ObjectIdentifier
  20:           560          41560  [Ljava.lang.String;
  21:           735          41160  java.util.LinkedHashMap
  22:          1244          39808  java.util.Hashtable$Entry
  23:           816          32640  java.util.LinkedHashMap$Entry
  24:           755          30200  java.math.BigInteger
  25:           867          27744  sun.security.util.DerInputBuffer
  26:           867          27744  sun.security.util.DerValue
  27:           760          24320  java.lang.ref.ReferenceQueue
  28:           722          23104  java.util.LinkedList
  29:           718          22976  sun.security.util.MemoryCache
  30:           715          22880  java.net.Socket
  31:           867          20808  sun.security.util.DerInputStream
  32:           850          20400  [Lsun.security.x509.AVA;
  33:           850          20400  sun.security.x509.AVA
  34:           850          20400  sun.security.x509.RDN
  35:           272          19584  java.lang.reflect.Field
  36:           335          18760  sun.security.ssl.CipherSuite
  37:           204          17952  java.lang.reflect.Method
  38:           183          14640  java.lang.reflect.Constructor
  39:           179          14320  org.apache.http.impl.conn.CPool
  40:           230          12880  java.security.Provider$Service
  41:           490          12840  [Ljava.lang.Class;
  42:           510          12240  java.security.Provider$ServiceKey
  43:           762          12192  java.lang.ref.ReferenceQueue$Lock
  44:            45          11840  [Ljava.util.Hashtable$Entry;
  45:           295          11800  java.lang.ref.SoftReference
  46:           207          11592  java.lang.invoke.MemberName
  47:           180          11520  java.security.SecureRandom
  48:           358          11456  sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair
  49:           358          11456  sun.security.ssl.SSLSessionContextImpl
  50:           341          10912  sun.misc.FDBigInteger
  51:           439          10536  java.util.ArrayList
  52:           217          10416  sun.security.x509.X500Name
  53:           181          10136  sun.security.provider.SHA
  54:           312           9984  sun.security.x509.AlgorithmId
  55:           178           9968  java.util.zip.ZipFile$ZipFileInflaterInputStream
  56:           178           9968  java.util.zip.ZipFile$ZipFileInputStream
  57:           365           8760  java.util.Arrays$ArrayList
  58:           179           8592  sun.security.ssl.SSLContextImpl$TLSContext
  59:           104           8320  sun.security.x509.X509CertImpl
  60:           326           7824  java.util.jar.Attributes$Name
  61:           217           7456  [Lsun.security.x509.RDN;
  62:           179           7160  org.apache.http.conn.routing.HttpRoute
  63:           179           7160  org.apache.http.pool.AbstractConnPool$1
  64:           221           7072  java.lang.invoke.LambdaForm$Name
  65:           119           6664  java.lang.Class$ReflectionData
  66:           207           6624  java.util.concurrent.locks.ReentrantLock$NonfairSync
  67:           101           6464  java.net.URL
  68:           257           6168  java.lang.Long
  69:           250           6000  sun.security.util.DisabledAlgorithmConstraints$DisabledConstraint
  70:           374           5984  java.util.HashSet
  71:           104           5824  sun.security.util.MemoryCache$SoftCacheEntry
  72:           104           5824  sun.security.x509.X509CertInfo
  73:           181           5792  java.security.MessageDigest$Delegate
  74:           181           5792  org.apache.http.HttpHost
  75:           181           5792  sun.security.provider.SecureRandom
  76:           179           5728  org.apache.http.conn.ssl.SSLConnectionSocketFactory
  77:           179           5728  org.apache.http.impl.conn.DefaultHttpClientConnectionOperator
  78:           179           5728  org.apache.http.impl.conn.PoolingHttpClientConnectionManager
  79:           179           5728  org.apache.http.impl.conn.PoolingHttpClientConnectionManager$ConfigData
  80:           179           5728  sun.security.ssl.X509TrustManagerImpl
  81:            94           5640  [Ljava.lang.ref.SoftReference;
  82:           176           5632  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  83:           130           5200  java.lang.invoke.MethodType
  84:           211           5064  java.util.Date
  85:           101           4848  java.util.TreeMap
  86:           285           4560  java.lang.Integer
  87:           190           4560  java.util.concurrent.atomic.AtomicLong
  88:           273           4368  java.lang.Byte
  89:           182           4368  java.security.Provider$UString
  90:           179           4296  [Lsun.security.ssl.EphemeralKeyManager$EphemeralKeyPair;
  91:           179           4296  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
  92:           179           4296  org.apache.http.conn.ssl.DefaultHostnameVerifier
  93:           179           4296  org.apache.http.impl.conn.PoolingHttpClientConnectionManager$InternalConnectionFactory
  94:            87           4176  sun.security.rsa.RSAPublicKeyImpl
  95:           256           4096  java.lang.Short
  96:            43           4088  [J
  97:            98           3920  [Z
  98:           118           3776  com.alibaba.fastjson.util.IdentityHashMap$Entry
  99:           228           3648  java.util.jar.Attributes
 100:            78           3528  [Ljava.lang.invoke.LambdaForm$Name;
 101:           104           3512  [[C
 102:            73           3504  java.lang.invoke.LambdaForm
 103:           207           3312  java.util.concurrent.locks.ReentrantLock
 104:            97           3104  java.util.Collections$SynchronizedMap
 105:            95           3040  sun.security.x509.BasicConstraintsExtension
 106:             8           3008  java.lang.Thread
 107:            93           2976  sun.security.x509.SubjectKeyIdentifierExtension
 108:            28           2912  [Ljava.lang.invoke.MethodHandle;
 109:           182           2912  org.apache.http.config.Registry
 110:           181           2896  java.util.concurrent.atomic.AtomicBoolean
 111:           179           2864  sun.security.ssl.EphemeralKeyManager
 112:           179           2864  sun.security.ssl.SSLSocketFactoryImpl
 113:            58           2784  java.util.logging.LogManager$LoggerWeakRef
 114:            87           2784  sun.security.x509.KeyUsageExtension
 115:            49           2744  java.lang.Package
 116:            49           2744  java.lang.invoke.MethodTypeForm
 117:            48           2688  sun.misc.URLClassPath$JarLoader
 118:           104           2496  sun.security.util.BitArray
 119:           104           2496  sun.security.util.Cache$EqualByteArray
 120:           104           2496  sun.security.x509.CertificateValidity
 121:            76           2432  java.lang.invoke.DirectMethodHandle
 122:            30           2400  [Ljava.util.WeakHashMap$Entry;
 123:           100           2400  java.lang.invoke.LambdaForm$NamedFunction
 124:            96           2304  sun.security.x509.CertificateExtensions
 125:            53           2120  sun.security.util.NamedCurve
 126:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 127:           128           2048  java.lang.Character
 128:            80           2024  [Ljava.lang.reflect.Constructor;
 129:           124           1984  sun.security.x509.KeyIdentifier
 130:            27           1944  java.util.logging.Logger
 131:           121           1936  java.util.HashMap$EntrySet
 132:            47           1880  java.io.ObjectStreamField
 133:           113           1808  sun.security.x509.SerialNumber
 134:            53           1696  java.security.spec.EllipticCurve
 135:            52           1664  java.lang.ref.WeakReference
 136:           104           1664  sun.security.x509.CertificateAlgorithmId
 137:           104           1664  sun.security.x509.CertificateSerialNumber
 138:           104           1664  sun.security.x509.CertificateVersion
 139:           104           1664  sun.security.x509.CertificateX509Key
 140:             2           1648  [[B
 141:            32           1640  [Ljava.lang.reflect.Field;
 142:            68           1632  java.security.spec.ECPoint
 143:            67           1608  java.util.regex.Pattern$Slice
 144:            28           1568  sun.nio.cs.UTF_8$Encoder
 145:            24           1536  java.util.jar.JarFile
 146:            16           1536  java.util.jar.JarFile$JarFileEntry
 147:            47           1504  java.util.logging.LogManager$LogNode
 148:            30           1440  java.util.WeakHashMap
 149:            29           1392  java.util.Hashtable
 150:            15           1376  [Ljava.lang.Byte;
 151:             1           1376  [Lsun.misc.FDBigInteger;
 152:             1           1360  [Lsun.security.ssl.CipherSuite;
 153:            56           1344  sun.reflect.NativeConstructorAccessorImpl
 154:            39           1280  [Ljava.math.BigInteger;
 155:            40           1280  java.util.Vector
 156:            31           1240  sun.security.x509.AuthorityKeyIdentifierExtension
 157:            16           1160  [Ljava.lang.reflect.Method;
 158:            28           1120  java.math.BigDecimal
 159:            14           1120  java.net.URI
 160:            68           1088  sun.reflect.DelegatingConstructorAccessorImpl
 161:            27           1080  java.security.ProtectionDomain
 162:             1           1040  [Ljava.lang.Integer;
 163:             1           1040  [Ljava.lang.Long;
 164:             1           1040  [Ljava.lang.Short;
 165:            14           1008  sun.security.ssl.SSLCipher
 166:            30            960  java.security.Provider$EngineDescription
 167:            38            912  java.util.AbstractMap$SimpleImmutableEntry
 168:            12            864  sun.reflect.DelegatingClassLoader
 169:             6            840  [D
 170:            21            840  sun.nio.cs.UTF_8$Decoder
 171:            21            840  sun.util.locale.BaseLocale$Key
 172:            15            832  [Ljava.util.regex.Pattern$Node;
 173:            26            832  java.security.CodeSource
 174:            25            800  java.util.zip.ZipCoder
 175:            11            792  java.util.regex.Pattern
 176:            14            784  java.util.ResourceBundle$CacheKey
 177:            24            768  sun.security.x509.OIDMap$OIDInfo
 178:            30            720  com.alibaba.fastjson.serializer.SerializerFeature
 179:            28            672  [Ljava.util.Map$Entry;
 180:            21            672  java.util.Locale
 181:            14            672  java.util.ResourceBundle$BundleReference
 182:            28            672  java.util.concurrent.CopyOnWriteArrayList
 183:            21            672  sun.util.locale.BaseLocale
 184:             9            656  [S
 185:            20            640  java.io.File
 186:             3            624  [Ljava.lang.invoke.LambdaForm;
 187:            26            624  com.alibaba.fastjson.parser.Feature
 188:            26            624  java.security.spec.ECFieldF2m
 189:            26            624  java.util.regex.Pattern$SliceI
 190:            19            608  sun.security.ssl.CipherSuite$KeyExchange
 191:            25            600  java.util.ArrayDeque
 192:            25            600  org.apache.commons.logging.impl.Jdk14Logger
 193:            14            560  java.security.AccessControlContext
 194:            10            560  sun.invoke.util.Wrapper
 195:            14            560  sun.security.ec.ECPublicKeyImpl
 196:            19            544  [Lsun.security.ssl.ProtocolVersion;
 197:            17            544  java.security.AlgorithmParameters
 198:             1            528  [Ljava.lang.Character;
 199:            11            528  java.util.zip.Inflater
 200:            17            504  [Ljava.io.ObjectStreamField;
 201:            21            504  java.util.Locale$LocaleKey
 202:            21            504  sun.security.x509.AVAKeyword
 203:            12            480  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 204:            15            480  java.util.regex.Pattern$Branch
 205:            20            480  org.apache.http.entity.ContentType
 206:            12            480  sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint
 207:             6            456  [Lsun.invoke.util.Wrapper;
 208:            14            448  java.util.ResourceBundle$LoaderReference
 209:            27            432  [Ljava.security.Principal;
 210:             1            432  [[[C
 211:            27            432  java.security.ProtectionDomain$Key
 212:            27            432  java.security.spec.ECFieldFp
 213:            18            432  sun.misc.MetaIndex
 214:            17            400  [Ljava.security.cert.Certificate;
 215:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 216:             1            384  com.intellij.rt.execution.application.AppMainV2$1
 217:            16            384  java.lang.RuntimePermission
 218:            12            384  java.lang.invoke.SimpleMethodHandle
 219:             1            384  java.lang.ref.Finalizer$FinalizerThread
 220:             6            384  java.nio.DirectByteBuffer
 221:             8            384  java.util.Properties
 222:             1            384  java.util.logging.LogManager$Cleaner
 223:            12            384  sun.security.x509.URIName
 224:             1            376  java.lang.ref.Reference$ReferenceHandler
 225:            23            368  sun.security.x509.GeneralName
 226:             9            360  java.util.WeakHashMap$Entry
 227:            15            360  java.util.regex.Pattern$Single
 228:            11            352  java.security.cert.PolicyQualifierInfo
 229:            11            352  sun.security.x509.DistributionPoint
 230:            22            352  sun.security.x509.GeneralNames
 231:             6            336  java.lang.invoke.LambdaFormEditor$Transform
 232:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 233:             6            336  java.nio.DirectLongBufferU
 234:            14            336  java.util.LinkedList$Node
 235:             6            336  sun.util.calendar.ZoneInfo
 236:             4            320  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 237:            10            320  java.lang.OutOfMemoryError
 238:            10            320  java.lang.ThreadLocal$ThreadLocalMap$Entry
 239:            10            320  java.security.Permissions
 240:            10            320  sun.security.jca.ProviderConfig
 241:            13            312  java.util.regex.Pattern$GroupHead
 242:            13            312  java.util.regex.Pattern$GroupTail
 243:            12            288  java.io.ExpiringCache$Entry
 244:             9            288  java.io.FilePermission
 245:            12            288  java.lang.invoke.Invokers
 246:            12            288  java.util.BitSet
 247:             9            288  java.util.logging.Level
 248:             9            288  jdk.internal.org.objectweb.asm.Type
 249:             9            288  sun.security.x509.CertificatePoliciesExtension
 250:            11            264  java.net.StandardSocketOptions$StdSocketOption
 251:            11            264  java.util.zip.ZStreamRef
 252:             8            256  java.util.RegularEnumSet
 253:             8            256  java.util.regex.Pattern$Curly
 254:             8            256  sun.security.x509.CRLDistributionPointsExtension
 255:             8            248  [Ljava.lang.invoke.LambdaForm$BasicType;
 256:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 257:             6            240  java.lang.ClassLoader$NativeLibrary
 258:            10            240  java.security.CryptoPrimitive
 259:            15            240  java.util.regex.Pattern$BranchConn
 260:             5            240  sun.util.locale.provider.LocaleResources$ResourceReference
 261:             7            224  sun.security.ssl.ProtocolVersion
 262:            14            224  sun.security.util.ECParameters
 263:             9            216  java.io.FilePermissionCollection
 264:             9            216  java.util.Collections$UnmodifiableRandomAccessList
 265:             9            216  java.util.logging.Level$KnownLevel
 266:             9            216  java.util.regex.Pattern$Start
 267:             9            216  sun.security.x509.Extension
 268:             9            216  sun.security.x509.PolicyInformation
 269:             9            216  sun.util.logging.PlatformLogger$Level
 270:             7            208  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 271:            13            208  java.lang.ThreadLocal
 272:             3            200  [[Ljava.lang.String;
 273:             5            200  java.io.FileDescriptor
 274:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 275:             5            200  sun.security.ssl.CipherSuite$MacAlg
 276:             6            192  java.lang.invoke.LambdaForm$BasicType
 277:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 278:             8            192  java.net.NetPermission
 279:             4            192  java.nio.HeapByteBuffer
 280:             6            192  java.security.BasicPermissionCollection
 281:             8            192  java.util.jar.Manifest
 282:            12            192  sun.reflect.BootstrapConstructorAccessorImpl
 283:             2            192  sun.security.provider.Sun
 284:            12            192  sun.security.x509.DNSName
 285:            11            176  java.util.LinkedHashSet
 286:             2            176  java.util.jar.JarVerifier
 287:            11            176  sun.security.x509.CertificatePolicyId
 288:             1            168  [[Ljava.math.BigInteger;
 289:             7            168  org.apache.http.message.BasicHeader
 290:             7            168  sun.security.x509.NetscapeCertTypeExtension$MapEntry
 291:            10            160  java.util.Formatter$Flags
 292:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 293:             2            152  [Lcom.alibaba.fastjson.serializer.SerializerFeature;
 294:             3            144  [F
 295:             2            144  [Ljava.math.BigDecimal;
 296:             2            144  com.alibaba.fastjson.util.ASMClassLoader
 297:             9            144  java.util.Collections$UnmodifiableSet
 298:             6            144  sun.misc.PerfCounter
 299:             3            144  sun.misc.URLClassPath
 300:             3            144  sun.nio.cs.StreamEncoder
 301:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 302:             6            128  [Ljava.security.CodeSigner;
 303:             2            128  java.io.ExpiringCache$1
 304:             4            128  java.net.InetAddress$InetAddressHolder
 305:             4            128  java.util.Stack
 306:             2            128  sun.nio.cs.ext.DoubleByte$Encoder
 307:             1            120  [Lcom.alibaba.fastjson.parser.Feature;
 308:             3            120  java.lang.invoke.BoundMethodHandle$Species_LL
 309:             3            120  java.util.IdentityHashMap
 310:             5            120  org.apache.http.auth.AuthProtocolState
 311:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 312:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 313:             5            120  sun.nio.fs.WindowsPathType
 314:             5            120  sun.security.jca.ServiceId
 315:             3            120  sun.security.provider.DSAPublicKeyImpl
 316:             5            120  sun.security.ssl.SupportedGroupsExtension$NamedGroupType
 317:             5            120  sun.security.util.DisabledAlgorithmConstraints
 318:             2            112  [Ljava.lang.invoke.MethodType;
 319:             2            112  [Ljava.security.CryptoPrimitive;
 320:             7            112  java.util.HashMap$KeySet
 321:             2            112  org.apache.http.client.config.RequestConfig
 322:             1             96  [Lsun.security.ssl.CipherSuite$KeyExchange;
 323:             1             96  [[J
